ScenarioID,eventName,currencyOfEvent,instrument,enabledOrderDirection,orderDirection,secondsBeforePending,secondsBeforeModify,secondsAfterNews,isOCO,manageMoney,calcAmountWithMaxSpread,weight,pointsAway,takeProfit,stopLoss,modifyGap,secondsAfterNewsOffset,breakevenTrigger,breakevenDistance,trailingStop,trailingAfter,trailImmediately,riskPercent,amount,maxSpread,maxSlippage,,,,,0
15,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,15.71017819,0,4.456461903,0.1,0,0,0,7.730307565,1.494712301,TRUE,0.039,0.001,0,999,1068.67,1,999,,68.67
16,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,12.5,TRUE,TRUE,FALSE,1,15.68308864,0,4.339885005,0.1,0,0,0,10.97053398,1.40735843,TRUE,0.039,0.001,0,999,,,,,0
17,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,20,TRUE,TRUE,FALSE,1,15.85051748,0,3.874189543,0.1,0,0,0,13.42791947,1.682777395,TRUE,0.039,0.001,0,999,1067.9,1,999,,67.9
18,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,15,TRUE,TRUE,FALSE,1,17.76477917,0,3.922891886,0.1,0,0,0,11.76369297,1.34833785,TRUE,0.039,0.001,0,999,,,,,0
19,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,10,TRUE,TRUE,FALSE,1,16.92228185,0,3.650145296,0.1,0,0,0,9.94745376,1.313998035,TRUE,0.039,0.001,0,999,,,,,0
20,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,15.24874234,0,4.222084352,0.1,0,0,0,9.689441265,1.324541367,TRUE,0.039,0.001,0,999,1062.23,1,999,,62.23
1,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,1.778646765,0,5.155976281,0.1,0,0,0,11.48017083,1.612694373,TRUE,0.039,0.001,0,999,1080.65,0.75,5.085656361,,60.4875
2,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,2.108958774,0,5.179900515,0.1,0,0,0,1.372950031,1.572125583,TRUE,0.013,0.001,0,999,1071.39,0.5,10.50466045,,35.695
3,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,2.228787384,0,5.156604054,0.1,0,0,0,1.751885248,1.439462585,TRUE,0.013,0.001,0,999,1070.31,0.5,9.214953271,,35.155
4,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,2.216165663,0,4.511504824,0.1,0,0,0,2.180076672,1.535634614,TRUE,0.013,0.001,0,999,,,,,0
5,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,2.008559618,0,5.259795099,0.1,0,0,0,2.619015554,1.354607899,TRUE,0.013,0.001,0,999,1065.44,0.5,6.95,,32.72
6,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,1.911404404,0,5.001873712,0.1,0,0,0,3.556511275,1.488167761,TRUE,0.013,0.001,0,999,1058.55,0.5,5.170940171,,29.275
7,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,2.125615292,0,5.605487255,0.1,0,0,0,6.858142735,1.390994573,TRUE,0.026,0.001,0,999,1053.59,0.75,4.074541284,,40.1925
8,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,1.81041919,0,4.931965491,0.1,0,0,0,6.395617958,1.582294444,TRUE,0.026,0.001,0,999,,,,,0
9,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,1.95731596,0,4.378304656,0.1,0,0,0,4.325851968,1.654943514,TRUE,0.026,0.001,0,999,1052.27,0.5,2.235349716,,26.135
10,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,4.396191718,0,5.622513573,0.1,0,0,0,13.95735417,1.656443775,TRUE,0.026,0.001,0,999,1067.97,0.8,5.448298429,,54.376
11,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,4.698502637,0,4.842891874,0.1,0,0,0,5.719833607,1.426114818,TRUE,0.026,0.001,0,999,1059.74,0.666666667,4.836223507,,39.82666667
12,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,4.038173837,0,4.590683448,0.1,0,0,0,7.211730522,1.503903635,TRUE,0.026,0.001,0,999,,,,,0
13,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,4.507685864,0,5.516186879,0.1,0,0,0,10.78055001,1.312632398,TRUE,0.026,0.001,0,999,1052.27,0.8,7.326481258,,41.816
14,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,6.276260943,0,5.121853816,0.1,0,0,0,8.880754716,1.533979078,TRUE,0.026,0.001,0,999,1014.99,1,999,,14.99
15,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,5.473263227,0,4.999253668,0.1,0,0,0,10.99908803,1.39324349,TRUE,0.026,0.001,0,999,1014.99,1,999,,14.99
16,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,8.055071814,0,4.391170503,0.1,0,0,0,10.21616661,1.682239545,TRUE,0.026,0.001,0,999,,,,,0
17,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,8.583428876,0,5.06071368,0.1,0,0,0,9.751226968,1.559830634,TRUE,0.026,0.001,0,999,1029.27,1,999,,29.27
18,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,8.443844569,0,5.255123776,0.1,0,0,0,12.98643725,1.660127756,TRUE,0.026,0.001,0,999,1023.55,1,999,,23.55
19,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,10.0657196,0,5.620703316,0.1,0,0,0,9.278571226,1.645320123,TRUE,0.026,0.001,0,999,,,,,0
20,United States ADP Employment Change,USD,EUR/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,8.94109394,0,4.47086728,0.1,0,0,0,6.685173915,1.587438227,TRUE,0.026,0.001,0,999,1023.14,1,999,,23.14
1,United States ADP Employment Change,USD,USD/JPY,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,5.191819283,0,4.776906099,0.1,0,0,0,2.631358708,1.543086798,TRUE,0.013,0.001,0,999,1066.75,0.727272727,3.308411215,,48.54545455
2,United States ADP Employment Change,USD,USD/JPY,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,6.112449182,0,4.47777578,0.1,0,0,0,2.348980316,1.638420509,TRUE,0.013,0.001,0,999,1061.76,0.642857143,2.621650026,,39.70285714
3,United States ADP Employment Change,USD,USD/JPY,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,6.412163818,0,4.652166692,0.1,0,0,0,3.03480137,1.369634657,TRUE,0.013,0.001,0,999,1055.56,0.727272727,2.865591398,,40.40727273
4,United States ADP Employment Change,USD,USD/JPY,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,5.331342589,0,5.122798664,0.1,0,0,0,3.637920317,1.519163169,TRUE,0.013,0.001,0,999,,,,,0
5,United States ADP Employment Change,USD,USD/JPY,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,5.242222726,0,4.520927343,0.1,0,0,0,4.934708144,1.681869167,TRUE,0.013,0.001,0,999,1053.11,0.636363636,2.469789357,,33.79727273
6,United States ADP Employment Change,USD,USD/JPY,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,5.176311022,0,4.638027341,0.1,0,0,0,1.353019535,1.656223929,TRUE,0.013,0.001,0,999,1046.64,0.545454545,2.472503161,,25.44
7,United States ADP Employment Change,USD,USD/JPY,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,6.156605338,0,4.817484027,0.1,0,0,0,2.741203198,1.317488024,TRUE,0.013,0.001,0,999,,,,,0
8,United States ADP Employment Change,USD,USD/JPY,BOTHDIRECTION,LONG,10,0,20,TRUE,TRUE,FALSE,1,5.535541667,0,4.5189607,0.1,0,0,0,3.645873191,1.642429906,TRUE,0.013,0.001,0,999,1044.54,0.642857143,2.023004371,,28.63285714
13,United States ADP Employment Change,USD,USD/JPY,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,7.920006443,0,4.489117574,0.1,0,0,0,2.432755041,1.442923543,TRUE,0.013,0.001,0,999,,,,,0
