closeOnShutDown,pathEventCalendarCSV,pathMultiSettingCSV,isTest,isMultiScenarioRun,eventName,currencyOfEvent,testInstrument,enabledOrderDirection,pointsAway,takeProfit,stopLoss,modifyGap,secondsBeforePending,secondsBeforeModify,secondsAfterNews,secondsAfterNewsOffset,breakevenTrigger,breakevenDistance,trailingStop,trailingAfter,trailImmediately,isOCO,manageMoney,calcAmountWithMaxSpread,riskPercent,amount,maxSpread,maxSlippage,initDep,finishDep,commission,turnOver,eventPeriodsNbr,closedOrderNb,buyOrders,sellOrders,maxProfit,maxLoss,profitNb,lossNb,profitNbWithComm,lossNbWithComm,orderPercent,profitPercent,profitPercentWithComm,avrPLperevent,avrPLclosedorder,sumProfit,sumLoss,sumProfitCom,sumLossCom,PLrate,PLrateCom
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,5.0,0.5,3.4,1.5,true,true,true,false,0.01,0.001,0.0,5.0,1000.0,1011.02,31.55,657012.97,35,7,7,0,22.82,-16.6,4,3,4,3,0.2,0.5714285714285714,0.5714285714285714,0.31485714285714234,1.5742857142857116,72.14999999999999,-29.560000000000002,53.559999999999995,-42.53,2.440798376184032,1.2593463437573476
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,5.0,0.5,3.4,1.5,true,true,true,false,0.01,0.001,0.0,999.0,1000.0,1013.57,50.75,1057501.57,35,11,11,0,22.06,-16.67,7,4,6,5,0.3142857142857143,0.6363636363636364,0.5454545454545454,0.3877142857142871,1.233636363636368,98.23,-33.910000000000004,69.66,-56.1,2.896785608964907,1.241711229946524
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,5.0,0.5,5.7,1.5,true,true,true,false,0.01,0.001,0.0,2.0,1000.0,1057.2,32.010000000000005,666568.15,35,7,7,0,48.69,-12.47,6,1,5,2,0.2,0.8571428571428571,0.7142857142857143,1.6342857142857157,8.171428571428578,101.69,-12.47,77.05999999999999,-19.84,8.15477145148356,3.8840725806451606
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,5.0,0.5,5.7,1.5,true,true,true,false,0.01,0.001,0.0,5.0,1000.0,1057.2,32.010000000000005,666568.15,35,7,7,0,48.69,-12.47,6,1,5,2,0.2,0.8571428571428571,0.7142857142857143,1.6342857142857157,8.171428571428578,101.69,-12.47,77.05999999999999,-19.84,8.15477145148356,3.8840725806451606
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,5.0,0.5,5.7,1.5,true,true,true,false,0.01,0.001,0.0,999.0,1000.0,1146.72,51.959999999999994,1082328.72,35,11,11,0,92.22,-15.42,10,1,7,4,0.3142857142857143,0.9090909090909091,0.6363636363636364,4.192000000000001,13.338181818181821,214.09,-15.42,175.69,-28.979999999999997,13.883916990920882,6.062456866804694
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,5.0,0.5,12.5,1.5,true,true,true,false,0.01,0.001,0.0,2.0,1000.0,1027.08,31.610000000000003,658801.22,35,7,7,0,47.82,-20.21,6,1,2,5,0.2,0.8571428571428571,0.2857142857142857,0.7737142857142837,3.868571428571418,78.89999999999999,-20.21,63.2,-36.14,3.9040079168728345,1.748754842280022
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,5.0,0.5,12.5,1.5,true,true,true,false,0.01,0.001,0.0,5.0,1000.0,1027.08,31.610000000000003,658801.22,35,7,7,0,47.82,-20.21,6,1,2,5,0.2,0.8571428571428571,0.2857142857142857,0.7737142857142837,3.868571428571418,78.89999999999999,-20.21,63.2,-36.14,3.9040079168728345,1.748754842280022
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,5.0,0.5,12.5,1.5,true,true,true,false,0.01,0.001,0.0,999.0,1000.0,1100.37,51.06999999999999,1063916.19,35,11,11,0,89.47,-23.5,10,1,3,8,0.3142857142857143,0.9090909090909091,0.2727272727272727,2.8677142857142828,9.124545454545444,174.91,-23.5,146.78,-46.45,7.442978723404255,3.1599569429494077
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,5.0,2.0,3.4,1.5,true,true,true,false,0.01,0.001,0.0,2.0,1000.0,1011.82,31.560000000000002,657157.2299999999,35,7,7,0,22.82,-16.61,4,3,4,3,0.2,0.5714285714285714,0.5714285714285714,0.33771428571428713,1.6885714285714357,72.97999999999999,-29.57,54.38999999999999,-42.54,2.4680419343929656,1.278561354019746
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,5.0,2.0,3.4,1.5,true,true,true,false,0.01,0.001,0.0,5.0,1000.0,1011.82,31.560000000000002,657157.2299999999,35,7,7,0,22.82,-16.61,4,3,4,3,0.2,0.5714285714285714,0.5714285714285714,0.33771428571428713,1.6885714285714357,72.97999999999999,-29.57,54.38999999999999,-42.54,2.4680419343929656,1.278561354019746
